name,location,property_type,accommodates,amenities,price,min_nights,max_nights,review_rating,tags
view cn tower/lake from the sky!,waterfront communities-the island,entire rental unit,4,"wine glasses, freezer, ethernet connection, laundromat nearby, indoor fireplace: electric, blender, dining table, hot water, shampoo, building staff, shower gel, baking sheet, safe, room-darkening shades, lake view, coffee, aeg induction stove, dishes and silverware, shared pool - available seasonally, free dryer – in unit, central air conditioning, free washer – in unit, toaster, iron, dishwasher, 65 inch hdtv with amazon prime video, apple tv, netflix, premium cable, dvd player, central heating, city skyline view, conditioner, cooking basics, self check-in, bose sound system with aux, hangers, hair dryer, extra pillows and blankets, private patio or balcony, cleaning products, microwave, aeg single oven, hot water kettle, shared beach access, waterfront, shared gym in building, essentials, lake access, clothing storage: walk-in closet, closet, and dresser, sun loungers, exercise equipment, bed linens, coffee maker: nespresso, aeg refrigerator, body soap",750.0,1,365,5.0,"view, waterfront"
striking 2bdrm condo w/ balcony views!,waterfront communities-the island,entire condo,3,"wine glasses, shared sauna, paid parking on premises, freezer, pets allowed, dining table, kitchen, hot water, shampoo, clothing storage, baking sheet, outdoor furniture, elevator, bathtub, room-darkening shades, pool, stove, coffee, dryer, keypad, fast wifi – 331 mbps, tv, dishes and silverware, washer, dedicated workspace, toaster, iron, dishwasher, city skyline view, conditioner, smoke alarm, cooking basics, oven, paid pack ’n play/travel crib - available upon request, hot tub, self check-in, cleaning available during stay, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, microwave, private patio or balcony, air conditioning, coffee maker, hot water kettle, shared gym in building, essentials, refrigerator, heating, bed linens, long term stays allowed, body soap",355.0,28,365,5.0,"balcony, condo, king, view, views, waterfront"
fully furnished apt yonge&shepp!,willowdale east,entire condo,4,"wifi, dining table, kitchen, hot water, shampoo, elevator, dryer, dishes and silverware, tv, washer, dedicated workspace, free parking on premises, iron, dishwasher, cooking basics, smoke alarm, hangers, hair dryer, fire extinguisher, carbon monoxide alarm, microwave, long term stays allowed, air conditioning, coffee maker, essentials, refrigerator, portable heater",147.0,28,365,4.0,furnished
downtown toronto urban retreat!,dovercourt-wallace emerson-junction,entire guesthouse,2,"wine glasses, stainless steel oven, wifi, freezer, outdoor dining area, laundromat nearby, blender, kitchen, hot water, private entrance, shampoo, shower gel, baking sheet, first aid kit, outdoor furniture, books and reading material, luggage dropoff allowed, room-darkening shades, coffee, dishes and silverware, tv, free dryer – in unit, dedicated workspace, free washer – in unit, clothing storage: closet and dresser, toaster, iron, gas stove, dishwasher, central heating, paid street parking off premises, coffee maker: french press, nespresso, conditioner, cooking basics, smoke alarm, self check-in, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, microwave, private patio or balcony, shared backyard – fully fenced, air conditioning, hot water kettle, essentials, refrigerator, smart lock, bed linens, long term stays allowed, body soap, housekeeping - available at extra cost",235.0,1,365,4.91,downtown
sanctuary loft w/ fireplace,mimico (includes humber bay shores),entire loft,2,"wifi, freezer, pets allowed, blender, dining table, kitchen, hot water, rice maker, free street parking, electric stove, shower gel, baking sheet, first aid kit, elevator, safe, bathtub, shared bbq grill: gas, coffee, dishes and silverware, free dryer – in unit, host greets you, dedicated workspace, free washer – in unit, free parking on premises, toaster, iron, dishwasher, central heating, conditioner, cooking basics, clothing storage: wardrobe and dresser, smoke alarm, oven, barbecue utensils, piano, hangers, 52 inch hdtv with amazon prime video, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, microwave, air conditioning, indoor fireplace: gas, hot water kettle, argan & almond oil shampoo, essentials, refrigerator, ceiling fan, bed linens, shared backyard, dove body soap, long term stays allowed, coffee maker: french press",315.0,28,120,5.0,loft
home in yonge and sheppard,willowdale east,entire home,4,"backyard - fully fenced, wine glasses, wifi, kitchen, hot water, rice maker, shampoo, private entrance, electric stove, exterior security cameras on property, clothing storage: walk-in closet and closet, coffee, dishes and silverware, tv, washer, dedicated workspace, free parking on premises, toaster, iron, central heating, conditioner, cooking basics, smoke alarm, coffee maker: drip coffee maker, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, microwave, single oven, air conditioning, hot water kettle, essentials, refrigerator, dryer – in unit, bed linens, long term stays allowed, body soap",137.0,1,28,4.44,
"private bedroom, private toilet, free parking,",newtonbrook west,private room in home,2,"wine glasses, wifi, outdoor dining area, dining table, kitchen, hot water, free street parking, shampoo, shower gel, outdoor furniture, first aid kit, luggage dropoff allowed, stainless steel double oven, keypad, dishes and silverware, tv, lock on bedroom door, dedicated workspace, shared patio or balcony, free parking on premises, iron, stainless steel electric stove, cooking basics, smoke alarm, self check-in, hangers, hair dryer, fire extinguisher, carbon monoxide alarm, microwave, air conditioning, trash compactor, hot water kettle, essentials, refrigerator, heating, toaster",75.0,1,28,4.7,"free parking, king, parking, private"
toronto gem 2.5br/2bth free park,waterfront communities-the island,entire condo,5,"wine glasses, wifi, freezer, kitchen, hot water, shampoo, shower gel, elevator, first aid kit, clothing storage: closet, bathtub, stove, coffee, dishes and silverware, tv, free dryer – in unit, washer, dedicated workspace, free parking on premises, paid parking garage off premises, toaster, iron, dishwasher, central heating, cooking basics, smoke alarm, coffee maker: drip coffee maker, oven, self check-in, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, microwave, air conditioning, smart lock, bed linens, body soap, housekeeping - available at extra cost",319.0,1,365,4.96,waterfront
modern comfort loft,agincourt south-malvern west,entire rental unit,4,"drying rack for clothing, wifi, freezer, outdoor dining area, pets allowed, dining table, kitchen, hot water, shampoo, electric stove, elevator, first aid kit, books and reading material, clothing storage: closet, bathtub, room-darkening shades, coffee, dishes and silverware, tv, washer, bidet, host greets you, dedicated workspace, free parking on premises, iron, pool table, dishwasher, cooking basics, smoke alarm, oven, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, microwave, smoking allowed, air conditioning, trash compactor, hot water kettle, gym in building, essentials, refrigerator, dryer – in unit, heating, exercise equipment, bed linens, coffee maker: nespresso, bbq grill, body soap",79.0,28,1125,5.0,"loft, modern"
condo in downtown toronto w/ lake & cn tower view,niagara,entire condo,2,"lockbox, wine glasses, shared sauna, paid parking on premises, wifi, freezer, outdoor dining area, blender, dining table, kitchen, hot water, shampoo, shower gel, baking sheet, first aid kit, outdoor furniture, elevator, clothing storage: closet, bathtub, room-darkening shades, pool, stove, lake view, coffee, dishes and silverware, tv, free dryer – in unit, bidet, dedicated workspace, free washer – in unit, toaster, iron, pool table, dishwasher, central heating, paid parking off premises, city skyline view, cooking basics, smoke alarm, coffee maker: drip coffee maker, oven, hot tub, self check-in, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, microwave, private patio or balcony, air conditioning, trash compactor, hot water kettle, shared gym in building, waterfront, essentials, refrigerator, exercise equipment, bed linens, long term stays allowed, bbq grill, body soap",233.0,2,365,5.0,"condo, downtown, view"
beautiful house,birchcliffe-cliffside,entire home,6,"wine glasses, stainless steel oven, wifi, freezer, indoor fireplace, dining table, kitchen, hot water, exterior security cameras on property, outdoor furniture, books and reading material, clothing storage: closet, bathtub, room-darkening shades, stove, keypad, dishes and silverware, tv, free dryer – in unit, washer, sono sound system, dedicated workspace, free parking on premises, iron, dishwasher, central heating, cooking basics, private backyard – fully fenced, smoke alarm, self check-in, hangers, hair dryer, carbon monoxide alarm, private patio or balcony, cleaning products, microwave, air conditioning, coffee maker, hot water kettle, refrigerator, bed linens, long term stays allowed, bbq grill",479.0,28,1125,5.0,
modern king suite in king west,waterfront communities-the island,entire condo,3,"lockbox, wine glasses, wifi, 75 inch hdtv with roku, kitchen, washer – in unit, hot water, elevator, first aid kit, clothing storage: closet, dishes and silverware, free dryer – in unit, central air conditioning, iron, dishwasher, central heating, cooking basics, smoke alarm, self check-in, hangers, hair dryer, fire extinguisher, private patio or balcony, microwave, hot water kettle, bed linens, coffee maker: nespresso, long term stays allowed, toaster",225.0,1,40,4.95,"king, modern, suite, waterfront"
bright modern studio with terrace,caledonia-fairbank,entire guest suite,2,"wine glasses, paid parking on premises, wifi, freezer, pack ’n play/travel crib - available upon request, blender, kitchen, hot water, private entrance, shampoo, first aid kit, clothing storage: closet, stove, keypad, dryer, dishes and silverware, washer, iron, central heating, coffee maker: french press, nespresso, conditioner, cooking basics, smoke alarm, self check-in, oven, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, portable fans, cleaning products, tv with fire tv, fire extinguisher, microwave, private patio or balcony, air conditioning, long term stays allowed, hot water kettle, essentials, refrigerator, mini fridge, bed linens, portable heater, toaster",110.0,3,1125,4.86,"bright, modern, studio"
sunnyside beach hideaway - private guest suite,south parkdale,entire guest suite,2,"drying rack for clothing, wine glasses, wifi, freezer, window ac unit, blender, dining table, kitchen, hot water, board games, shampoo, rice maker, private entrance, exterior security cameras on property, shower gel, clothing storage: walk-in closet and dresser, first aid kit, radiant heating, books and reading material, baking sheet, luggage dropoff allowed, bikes, dishes and silverware, free dryer – in unit, 52 inch hdtv, dedicated workspace, free washer – in unit, coffee maker: keurig coffee machine, free parking on premises, toaster, iron, dishwasher, paid street parking off premises, conditioner, cooking basics, smoke alarm, self check-in, oven, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, portable fans, fire extinguisher, microwave, hot water kettle, shared beach access, essentials, refrigerator, beach essentials, smart lock, bed linens, long term stays allowed, body soap",100.0,28,120,5.0,"away, beach, private, suite, sunny"
cozy junior 1br entire condo,kensington-chinatown,entire condo,2,"paid parking on premises, wifi, freezer, pets allowed, kitchen, hot water, whirlpool double oven, elevator, luggage dropoff allowed, safe, bathtub, pool, stove, dryer, dishes and silverware, tv, host greets you, coffee maker: keurig coffee machine, iron, central heating, nivea body soap, cooking basics, smoke alarm, cleaning available during stay, maui shampoo, hangers, hair dryer, cleaning products, microwave, smoking allowed, air conditioning, maui conditioner, essentials, refrigerator, paid washer – in building, private gym nearby, long term stays allowed, toaster",81.0,28,365,5.0,"condo, cozy"
king bed luxury condo - cn tower view + parking,waterfront communities-the island,entire condo,7,"wine glasses, shared sauna, paid parking on premises, freezer, ethernet connection, pack ’n play/travel crib - available upon request, single level home, pool view, laundromat nearby, shared hot tub, dining table, kitchen, hot water, board games, shampoo, rice maker, private entrance, free residential garage on premises – 1 space, shower gel, clothing storage, baking sheet, first aid kit, outdoor furniture, books and reading material, elevator, bathtub, room-darkening shades, 75 inch hdtv with chromecast, crib - available upon request, folding or convertible high chair - available upon request, lake view, aeg stainless steel oven, coffee, dishes and silverware, fast wifi – 558 mbps, free dryer – in unit, central air conditioning, dedicated workspace, free washer – in unit, toaster, iron, paid parking lot off premises, harbor view, baby bath, dishwasher, central heating, shared outdoor pool - available seasonally, open specific hours, rooftop, city skyline view, conditioner, smoke alarm, mosquito net, children’s books and toys, cooking basics, barbecue utensils, self check-in, cleaning available during stay, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, microwave, private patio or balcony, trash compactor, shared gym in building, waterfront, essentials, sun loungers, exercise equipment, aeg stainless steel stove, bed linens, building staff, coffee maker: drip coffee maker, french press, pour-over coffee, long term stays allowed, aeg refrigerator, body soap",402.0,1,178,4.85,"condo, king, luxury, parking, view, waterfront"
two bedroom suite,yonge-eglinton,private room in rental unit,5,"paid parking on premises, wifi, dining table, kitchen, hot water, shampoo, exterior security cameras on property, radiant heating, dishes and silverware, tv, lock on bedroom door, toaster, iron, smoke alarm, hangers, hair dryer, carbon monoxide alarm, microwave, air conditioning, coffee maker, essentials, refrigerator, paid dryer – in building, bed linens, paid washer – in building, body soap",213.0,28,365,5.0,suite
"toronto scarborough towncenter,",agincourt south-malvern west,private room in villa,2,"wifi, kitchen, hot water, shampoo, exterior security cameras on property, first aid kit, luggage dropoff allowed, stove, dishes and silverware, lock on bedroom door, smoke alarm, self check-in, hangers, hair dryer, fire extinguisher, extra pillows and blankets, microwave, carbon monoxide alarm, air conditioning, hot water kettle, essentials, lake access, refrigerator, heating, smart lock, bed linens, long term stays allowed",45.0,28,90,4.65,
bestoftoronto: rest and recharge spot,mimico (includes humber bay shores),entire home,12,"lockbox, wifi, freezer, laundromat nearby, pets allowed, dining table, hot water, private entrance, shampoo, exterior security cameras on property, shower gel, first aid kit, clothing storage: closet and wardrobe, room-darkening shades, tv, free dryer – in unit, free washer – in unit, free parking on premises, iron, central heating, stainless steel electric stove, kitchenette, private backyard – fully fenced, smoke alarm, self check-in, hangers, carbon monoxide alarm, fire extinguisher, cleaning products, microwave, air conditioning, refrigerator, bed linens, long term stays allowed, body soap, housekeeping - available at extra cost",259.0,2,365,3.92,best
cozy private guest suite in junction area,runnymede-bloor west village,private room in home,2,"drying rack for clothing, wine glasses, private living room, wifi, freezer, dining table, hot water, private entrance, shampoo, shower gel, first aid kit, bathtub, coffee, dryer, keypad, dishes and silverware, washer, lock on bedroom door, tv with standard cable, toaster, iron, paid parking off premises, conditioner, smoke alarm, self check-in, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, portable fans, cleaning products, fire extinguisher, coffee maker, hot water kettle, essentials, refrigerator, heating, bed linens, long term stays allowed, body soap",133.0,3,31,4.94,"cozy, private, suite"
luxury condo near cn tower/scotia arena w/ parking,waterfront communities-the island,entire rental unit,2,"wine glasses, single level home, wifi, ethernet connection, freezer, pets allowed, dining table, kitchen, hot water, private entrance, shampoo, shower gel, clothing storage, baking sheet, first aid kit, outdoor furniture, elevator, bathtub, room-darkening shades, stove, coffee, dryer, dishes and silverware, tv, washer, dedicated workspace, free parking on premises, iron, dishwasher, paid parking off premises, city skyline view, conditioner, smoke alarm, cooking basics, oven, coffee maker: drip coffee maker, self check-in, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, microwave, private patio or balcony, air conditioning, trash compactor, hot water kettle, waterfront, essentials, lake access, refrigerator, heating, paid parking garage on premises – 1 space, smart lock, bed linens, long term stays allowed, body soap",328.0,1,365,4.94,"condo, king, luxury, parking, waterfront"
2 bedroom - self check- in w washer & free parking,rockcliffe-smythe,entire home,3,"drying rack for clothing, laundromat nearby, dining table, hot water, board games, shampoo, private entrance, free driveway parking on premises – 1 space, exterior security cameras on property, free street parking, luggage dropoff allowed, fast wifi – 654 mbps, books and reading material, clothing storage: closet, 32 inch hdtv with chromecast, roku, room-darkening shades, ev charger - level 2, keypad, dishes and silverware, central air conditioning, bidet, dedicated workspace, toaster, iron, central heating, kitchenette, conditioner, cooking basics, smoke alarm, self check-in, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, portable fans, microwave, shared backyard – fully fenced, hot water kettle, paid washer – in unit, essentials, paid dryer – in unit, mini fridge, bed linens, outdoor playground, long term stays allowed, body soap",131.0,2,365,4.86,"free parking, king, parking"
room basement king bed  for rent etobicoke !,islington-city centre west,private room in home,3,"lockbox, wine glasses, wifi, freezer, bread maker, dining table, kitchen, hot water, shampoo, exterior security cameras on property, shower gel, clothing storage, bathtub, stove, dryer, dishes and silverware, tv, washer, lock on bedroom door, dedicated workspace, coffee maker: keurig coffee machine, free parking on premises, iron, dishwasher, cooking basics, smoke alarm, hot tub, oven, self check-in, cleaning available during stay, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, microwave, air conditioning, trash compactor, essentials, refrigerator, heating, long term stays allowed, body soap",40.0,28,180,4.0,"basement, city, king"
two bedroom suite at junction triangle,dovercourt-wallace emerson-junction,entire home,4,"wine glasses, wifi, freezer, indoor fireplace, laundromat nearby, dining table, kitchen, hot water, private entrance, shampoo, exterior security cameras on property, baking sheet, first aid kit, luggage dropoff allowed, clothing storage: closet, stove, coffee, dishes and silverware, central air conditioning, toaster, iron, paid street parking off premises, hdtv with netflix, roku, conditioner, cooking basics, smoke alarm, self check-in, oven, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, microwave, private patio or balcony, coffee maker, hot water kettle, essentials, refrigerator, heating, smart lock, ceiling fan, mini fridge, bed linens, long term stays allowed, body soap",141.0,28,1125,4.38,suite
"work/live by water, by city",waterfront communities-the island,entire rental unit,2,"paid parking on premises, wifi, ethernet connection, dining table, kitchen, hot water, private entrance, electric stove, elevator, first aid kit, blomberg refrigerator, lake view, dishes and silverware, tv, free dryer – in unit, washer, dedicated workspace, iron, paid parking lot off premises, dishwasher, central heating, city skyline view, cooking basics, smoke alarm, blomberg stainless steel oven, hangers, extra pillows and blankets, fire extinguisher, carbon monoxide alarm, microwave, patio or balcony, air conditioning, essentials, clothing storage: walk-in closet, closet, and dresser, bed linens, long term stays allowed",107.0,30,365,5.0,"city, waterfront"
very well located room bb,corso italia-davenport,private room in home,1,"wifi, outdoor dining area, smoke alarm, carbon monoxide alarm, lock on bedroom door, kitchen, dedicated workspace, air conditioning",65.0,28,365,3.0,
studio in the heart of toronto,kensington-chinatown,entire rental unit,2,"lockbox, wifi, kitchen, hot water, shampoo, exterior security cameras on property, stove, dishes and silverware, free dryer – in unit, central air conditioning, dedicated workspace, free washer – in unit, iron, paid parking off premises, cooking basics, smoke alarm, self check-in, oven, hangers, hair dryer, fire extinguisher, carbon monoxide alarm, cleaning products, microwave, coffee maker, essentials, refrigerator, heating, mini fridge",124.0,28,180,4.54,studio
monthly stays - scotiabank arena,waterfront communities-the island,entire rental unit,5,"iron, paid parking on premises, wifi, cooking basics, smoke alarm, heating, self check-in, fire extinguisher, tv, washer, hair dryer, carbon monoxide alarm, kitchen, building staff, free parking on premises, air conditioning",470.0,28,365,5.0,waterfront
stunning condo downtown toronto,waterfront communities-the island,entire condo,4,"dishwasher, wifi, bathtub, elevator, smoke alarm, coffee maker: drip coffee maker, coffee, dishes and silverware, bed linens, tv, washer, carbon monoxide alarm, kitchen, dining table, cleaning products, body soap, housekeeping - available at extra cost, air conditioning",283.0,1,28,4.5,"condo, downtown, waterfront"
"large private room w/en suite, work desk and wi-fi",corso italia-davenport,private room in home,1,"drying rack for clothing, stainless steel oven, wifi, freezer, laundromat nearby, dining table, kitchen, hot water, shampoo, shower gel, first aid kit, luggage dropoff allowed, bathtub, room-darkening shades, dishes and silverware, free dryer – in unit, central air conditioning, lock on bedroom door, host greets you, dedicated workspace, shared patio or balcony, free washer – in unit, free parking on premises, clothing storage: closet and dresser, toaster, iron, paid parking lot off premises, dishwasher, central heating, conditioner, cooking basics, smoke alarm, cleaning available during stay, hangers, hair dryer, carbon monoxide alarm, fire extinguisher, cleaning products, microwave, shared backyard – fully fenced, hot water kettle, essentials, refrigerator, bed linens, dove body soap, samsung stainless steel electric stove, long term stays allowed, coffee maker: french press",48.0,31,365,5.0,"private, private room, suite"
charming guest room mins away from york university,york university heights,private room in condo,1,"drying rack for clothing, wine glasses, wifi, freezer, bread maker, blender, dining table, kitchen, hot water, rice maker, shampoo, electric stove, shower gel, clothing storage: walk-in closet and dresser, first aid kit, elevator, books and reading material, bathtub, room-darkening shades, coffee, dishes and silverware, free dryer – in unit, host greets you, dedicated workspace, free washer – in unit, toaster, iron, dishwasher, central heating, paid street parking off premises, courtyard view, conditioner, smoke alarm, cooking basics, oven, hangers, extra pillows and blankets, carbon monoxide alarm, portable air conditioning, portable fans, microwave, 55 inch hdtv with amazon prime video, hbo max, netflix, premium cable, coffee maker, hot water kettle, essentials, refrigerator, ceiling fan, bed linens, free residential garage on premises, long term stays allowed, body soap",55.0,30,1125,5.0,"away, charming"
amazing furnished studio 55f,north st.james town,entire rental unit,2,"single level home, wifi, kitchen, hot water, shampoo, building staff, exterior security cameras on property, shower gel, elevator, pool, stove, tv, free dryer – in unit, washer, dedicated workspace, dishwasher, central heating, conditioner, cooking basics, smoke alarm, self check-in, oven, hair dryer, carbon monoxide alarm, private patio or balcony, cleaning products, microwave, private gym in building, air conditioning, coffee maker, essentials, refrigerator, paid parking garage on premises – 1 space, exercise equipment, bed linens, long term stays allowed, body soap",130.0,30,365,5.0,"furnished, studio"
the pink panther loft,south riverdale,entire rental unit,4,"lockbox, wine glasses, wifi, freezer, pets allowed, blender, record player, dining table, kitchen, hot water, lg stainless steel oven, baking sheet, outdoor furniture, elevator, bathtub, room-darkening shades, coffee, dishes and silverware, washer, 58 inch hdtv with apple tv, hbo max, netflix, lg  refrigerator, dedicated workspace, free parking on premises, iron, dishwasher, central heating, stainless steel electric stove, cooking basics, smoke alarm, self check-in, barbecue utensils, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, microwave, private patio or balcony, air conditioning, hot water kettle, technique 500 sound system, exercise equipment: free weights, yoga mat, essentials, free dryer, bed linens, dove body soap, coffee maker: nespresso, long term stays allowed, bbq grill, toaster",350.0,7,365,5.0,loft
